price,bed,bath,size-sqft,address
"$635,500",3,2.5,"1,681","4271 S Montoya Paseo, Ontario, CA 91762"
"$634,650",3,2.5,"1,654","4265 S Montoya Paseo, Ontario, CA 91762"
"$634,650",3,2.5,"1,654","4267 S Montoya Paseo, Ontario, CA 91762"
"$566,500",2,2.5,"1,388","4275 S Montoya Paseo, Ontario, CA 91762"
"$441,650",1,1.5,845,"4253 S Montoya Paseo, Ontario, CA 91762"
"$441,650",1,1.5,845,"4279 S Montoya Paseo, Ontario, CA 91762"
"$159,000",2,2,"1,800","1456 E Philadelphia St Spc 311, Ontario, CA 91761"
"From$767,500",5,3,"2,202","Residence Four Plan, Country Lane - Whispering Wind Community, Ontario, CA 91761"
"$659,552",3,2.5,"1,501","3651 E Jacobson Paseo Unit 7, Ontario, CA 91761"
"$641,900",3,2,"1,557","4127 E Circle Paseo Unit 301, Ontario, CA 91764"
"From$516,990",2,2,956,"Floor Plan 2, Radius at Piemonte Community, Ontario, CA 91764"
"$470,605",1,1,654,"4199 E Circle Paseo Unit 203, Ontario, CA 91764"
"From$662,000",3,2.5,"1,618","Residence One Plan, Country Lane - Whispering Wind Community, Ontario, CA 91761"
"$580,000",3,2.5,"1,444","2828 E Bedford Privado, Ontario, CA 91762"
"$570,000",3,2.5,"1,314","2836 E Bedford Privado, Ontario, CA 91762"
"$570,000",3,2.5,"1,314","2832 E Bedford Privado, Ontario, CA 91762"
"From$478,596",1,1.5,937,"eave at neuhouse Plan One, neuhouse Community, Ontario, CA 91761"
"From$447,700",1,1.5,845,"Residence One Plan, Falloncrest - Ashbrook Community, Ontario, CA 91762"
Contact for price,2,2.5,"1,548","Plan 2, Metro at Piemonte Community, Ontario, CA 91764"
"From$566,500",2,2.5,"1,388","Residence Two Plan, Falloncrest - Ashbrook Community, Ontario, CA 91762"
"$649,888",3,1.5,"1,080","631 W 5th St, Ontario, CA 91762"
"From$800,000",4,2.5,"2,213","Residence One Plan, Country Lane - Shady Tree Community, Ontario, CA 91761"
"From$648,728",3,3,"1,610","Plan Three, Rubi Community, Ontario, CA 91761"
"From$580,000",3,2.5,"1,444","Residence Two Plan, Falloncrest - Copper Leaf Community, Ontario, CA 91762"
"$599,999",3,2,"1,255","716 W F St, Ontario, CA 91762"
"$110,000",2,2,"1,248","1456 E Philadelphia St Spc 116, Ontario, CA 91761"
"$824,900",4,2,"1,718","1162 E Merion St, Ontario, CA 91761"
"$135,000",2,2,"2,040","1456 E Philadelphia St Spc 368, Ontario, CA 91761"
"$770,000",2,2,"1,638","4133 E Bella Privado, Ontario, CA 91761"
"$578,999",3,2.5,"1,485","3641 S Allston Paseo Unit 11, Ontario, CA 91761"
"$939,900",4,2,"2,130","740 W 6th St, Ontario, CA 91762"
"$1,200,000",5,4.5,"2,502","870 E Bermuda Dunes Ct, Ontario, CA 91761"
"$650,000",3,2,"1,509","643 W El Morado Ct, Ontario, CA 91762"
"$120,000",2,2,"1,248","1456 E Philadelphia St Spc 59, Ontario, CA 91761"
"$560,000",2,1,"1,029","319 W Nevada St, Ontario, CA 91762"
"$829,900",4,2,"1,768","3379 S Myrtle Dr, Ontario, CA 91761"
"$529,900",2,2,"1,186","4098 S Emory Ln Unit 8, Ontario, CA 91761"
"$740,000",4,2.5,"1,945","3410 Cedarglen Rd, Ontario, CA 91761"
"$120,000",3,2,940,"1855 E Riverside Dr Spc 219, Ontario, CA 91761"
"$179,999",3,2,"1,176","850 W Mission Blvd Trlr B32, Ontario, CA 91762"
"$455,000",2,1.5,"1,088","1101 W Francis St Apt G, Ontario, CA 91762"
"$749,800",2,2,"1,512","4260 E Sonrisa Privado, Ontario, CA 91761"
"$599,000",4,2.5,"1,596","2669 Acorn Glen Pl, Ontario, CA 91761"
"$735,000",4,2.5,"1,945","2918 Saint Tropez Dr, Ontario, CA 91761"
"$109,000",2,1,618,"1512 E 5th St Spc 71, Ontario, CA 91764"
"$1,250,000",5,3.5,"3,173","4040 S Bowery Pl, Ontario, CA 91761"
"$759,999",4,3,"2,300","3363 E Pine Ridge Loop, Ontario, CA 91761"
"$669,000",3,2.5,"2,051","4054 E Coronado Privado, Ontario, CA 91761"
"$820,000",3,2,"1,705","818 W Princeton St, Ontario, CA 91762"
"$859,000",5,4,"1,912","620 E E St, Ontario, CA 91764"
"$759,999",3,1.5,"1,665","864 W El Morado Ct, Ontario, CA 91762"
"$650,000",3,1.5,"1,196","1425 W Marcella Ct, Ontario, CA 91764"
"$568,888",2,2,"1,317","3610 E Pollock St Unit 5, Ontario, CA 91761"
"$748,000",5,3,"1,526","1422 N Sultana Ave, Ontario, CA 91764"
"$743,000",4,2,"1,875","404 E Alvarado St, Ontario, CA 91764"
"$699,999",3,2,"1,983","1736 E Princeton St, Ontario, CA 91764"
"$499,000",3,2.5,"1,346","2226 Smoke Tree Ln, Ontario, CA 91762"
"$895,000",4,3,"2,681","3184 E Lavender Dr, Ontario, CA 91762"
"$445,000",2,1.5,"1,012","1329 N Elderberry Ave, Ontario, CA 91762"
"$524,900",2,2,"1,186","3262 S Westmont Ln Unit 8, Ontario, CA 91761"
"$890,000",4,3,"2,401","2447 E Darien St, Ontario, CA 91761"
"$879,900",4,3,"2,299","3123 E Painted Crescent St, Ontario, CA 91762"
"$825,000",3,2,"1,096","1849 S San Antonio Ave, Ontario, CA 91762"
"$699,000",3,2,"1,213","322 E Sunkist St, Ontario, CA 91761"
"$738,000",4,3,"2,336","5060 S Centennial Cir E, Ontario, CA 91762"
"$699,900",3,2,"1,254","1144 W Yale St, Ontario, CA 91762"
"$848,000",4,2.5,"2,205","2890 S Via Belamaria, Ontario, CA 91762"
"$689,900",4,2,"1,362","824 N Imperial Ave, Ontario, CA 91764"
"$827,990",4,3,"2,380","2659 E Dolomite Ave, Ontario, CA 91761"
"$624,900",3,2.5,"1,628","4381 S Cantos Paseo Unit 5, Ontario, CA 91761"
"$709,990",3,2.5,"2,051","3903 E Coronado Privado, Ontario, CA 91761"
"$620,888",3,2.5,"1,692","4102 S Limecrest Paseo # 12, Ontario, CA 91761"
"$1,188,000",6,4,"3,086","4863 S Bountiful Trl, Ontario, CA 91762"
"$666,000",3,2.5,"1,652","3957 E Rincon St, Ontario, CA 91761"
"$683,500",4,3,"1,946","904 S Palmetto Ave Unit E, Ontario, CA 91762"
"$662,562",3,2.5,"1,734","4103 S Limecrest Paseo # 77, Ontario, CA 91761"
"$918,988",5,4,"2,409","2596 E Wren Way, Ontario, CA 91761"
"$698,000",3,1,"1,366","1818 Placer Ct, Ontario, CA 91764"
"$637,650",3,2.5,"1,681","2710 E Bottas Privado, Ontario, CA 91762"
"$665,000",3,2,"1,238","740 E Hawthorne St, Ontario, CA 91764"
"$863,990",4,2.5,"2,609","2635 Dolomite St, Ontario, CA 91761"
"$604,509",3,2.5,"1,338","4211 E Carmel Privado, Ontario, CA 91761"
"$560,000",2,1,795,"767 E Emporia St, Ontario, CA 91761"
"$990,000",4,3,"2,681","4714 S Garden Gate Ln, Ontario, CA 91762"
"$818,990",4,3,"2,380","2634 E Towhee St, Ontario, CA 91761"
"$715,000",4,2,"1,408","933 W El Morado Ct, Ontario, CA 91762"
"$499,990",2,1.5,"1,163","1981 E Yale St Unit 46, Ontario, CA 91764"
"$599,900",3,1.5,"1,050","1316 W D St, Ontario, CA 91762"
"$459,718",1,1.5,993,"4102 S Limecrest Paseo # 1, Ontario, CA 91761"
"$579,999",3,2.5,"1,701","3905 S Oasis Paseo Unit 53, Ontario, CA 91761"
"$530,025",2,2,956,"4199 E Circle Paseo Unit 304, Ontario, CA 91764"
"$799,990",4,3,"1,922","3712 S Nexa Paseo, Ontario, CA 91761"
"$611,275",3,2,"1,557","4199 E Circle Paseo Unit 301, Ontario, CA 91764"
"$621,615",2,2,"1,393","4149 E Circle Paseo Unit 101, Ontario, CA 91764"
"$590,764",3,1.5,"1,467","3239 S Coral Paseo, Ontario, CA 91761"
"$139,999",2,2,"2,040","1456 E Philadelphia St Spc 287, Ontario, CA 91761"
